strategy,symbol,timeframe,horizon,window_id,dataset_type,start_date,end_date,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,profit_factor,final_capital,cached_at
BlackLitterman,PORTFOLIO,1h,30d,4,train,2023-02-23 14:00:00,2023-03-25 14:00:00,0.13746826095443793,0.03076258334477424,0.1736617824677129,1.0,1,0.0,11374.68260954438,2025-10-25T13:24:24.915951
BlackLitterman,PORTFOLIO,1h,30d,5,train,2023-03-25 14:00:00,2023-04-24 14:00:00,-0.004761458974140805,0.0004920808193039767,0.11598255720003225,0.0,1,0.0,9952.385410258592,2025-10-25T13:24:24.929725
BlackLitterman,PORTFOLIO,1h,30d,6,train,2023-04-24 14:00:00,2023-05-24 14:00:00,-0.04206557348480583,-0.009909795824687838,0.11812687672193656,0.0,1,0.0,9579.344265151942,2025-10-25T13:24:24.946555
BlackLitterman,PORTFOLIO,1h,30d,7,train,2023-05-24 14:00:00,2023-06-23 14:00:00,0.14407400373976634,0.04967630336051418,0.11052783206351957,1.0,1,0.0,11440.740037397663,2025-10-25T13:24:24.966677
BlackLitterman,PORTFOLIO,1h,30d,8,train,2023-06-23 14:00:00,2023-07-23 14:00:00,-0.013552900384416717,-0.00397078513832458,0.05777238859939482,0.0,1,0.0,9864.470996155833,2025-10-25T13:24:24.983111
BlackLitterman,PORTFOLIO,1h,30d,9,train,2023-07-23 14:00:00,2023-08-22 14:00:00,-0.1251915241546949,-0.05876584046290228,0.13862996965724372,0.0,1,0.0,8748.084758453051,2025-10-25T13:24:24.997573
BlackLitterman,PORTFOLIO,1h,30d,10,train,2023-08-22 14:00:00,2023-09-21 14:00:00,0.020044447729131026,0.009127344532481535,0.10144071682814959,1.0,1,0.0,10200.44447729131,2025-10-25T13:24:25.010012
BlackLitterman,PORTFOLIO,1h,30d,11,train,2023-09-21 14:00:00,2023-10-21 14:00:00,0.11639179108963235,0.049588797973669954,0.0638413297480156,1.0,1,0.0,11163.917910896324,2025-10-25T13:24:25.022428
BlackLitterman,PORTFOLIO,1h,30d,0,test,2023-10-26 14:00:00,2023-11-25 14:00:00,0.0950323901899259,0.033443270328009395,0.06618510570020897,1.0,1,0.0,10950.323901899259,2025-10-25T13:24:25.034714
BlackLitterman,PORTFOLIO,1h,30d,1,test,2023-11-25 14:00:00,2023-12-25 14:00:00,0.14955624253091027,0.04978500592105835,0.08222052128800061,1.0,1,0.0,11495.562425309103,2025-10-25T13:24:25.046771
BlackLitterman,PORTFOLIO,1h,30d,2,test,2023-12-25 14:00:00,2024-01-24 14:00:00,-0.08309016119698881,-0.019375357089036073,0.19270381429209404,0.0,1,0.0,9169.098388030112,2025-10-25T13:24:25.061769
BlackLitterman,PORTFOLIO,1h,30d,3,test,2024-01-24 14:00:00,2024-02-23 14:00:00,0.2650352809953405,0.0810076778275664,0.03779005790742451,1.0,1,0.0,12650.352809953405,2025-10-25T13:24:25.071677
BlackLitterman,PORTFOLIO,1h,30d,4,test,2024-02-23 14:00:00,2024-03-24 14:00:00,0.26805046924343917,0.0504345689414844,0.15769592740537386,1.0,1,0.0,12680.504692434391,2025-10-25T13:24:25.084107
BlackLitterman,PORTFOLIO,1h,30d,5,test,2024-03-24 14:00:00,2024-04-23 14:00:00,0.016779365571102607,0.006863135291320034,0.16093243201599827,1.0,1,0.0,10167.793655711026,2025-10-25T13:24:25.101920
BlackLitterman,PORTFOLIO,1h,30d,6,test,2024-04-23 14:00:00,2024-05-23 14:00:00,0.01046899591950114,0.005385243750121985,0.1435035275126807,1.0,1,0.0,10104.689959195011,2025-10-25T13:24:25.115440
BlackLitterman,PORTFOLIO,1h,30d,7,test,2024-05-23 14:00:00,2024-06-22 14:00:00,-0.04987761492241571,-0.018438184303194275,0.1074088799082249,0.0,1,0.0,9501.223850775843,2025-10-25T13:24:25.126301
BlackLitterman,PORTFOLIO,1h,30d,8,test,2024-06-22 14:00:00,2024-07-22 14:00:00,0.034343665438939755,0.011903862136459626,0.15562179517393193,1.0,1,0.0,10343.436654389398,2025-10-25T13:24:25.146318
BlackLitterman,PORTFOLIO,1h,30d,9,test,2024-07-22 14:00:00,2024-08-21 14:00:00,-0.10524450878640891,-0.01899918458145899,0.2727294561067869,0.0,1,0.0,8947.55491213591,2025-10-25T13:24:25.163690
BlackLitterman,PORTFOLIO,1h,30d,10,test,2024-08-21 14:00:00,2024-09-20 14:00:00,0.0564890935355259,0.017966865021283376,0.17147476112020366,1.0,1,0.0,10564.890935355259,2025-10-25T13:24:25.180089
BlackLitterman,PORTFOLIO,1h,30d,11,test,2024-09-20 14:00:00,2024-10-20 14:00:00,0.08285130862159713,0.028943063855485784,0.09767963360085719,1.0,1,0.0,10828.513086215971,2025-10-25T13:24:25.196864
BlackLitterman,PORTFOLIO,1h,30d,12,test,2024-10-20 14:00:00,2024-11-19 14:00:00,0.31900719694745366,0.0745901081086071,0.0787811042882145,1.0,1,0.0,13190.071969474537,2025-10-25T13:24:25.216465
BlackLitterman,PORTFOLIO,1h,30d,13,test,2024-11-19 14:00:00,2024-12-19 14:00:00,0.09277328588265155,0.02627180969762766,0.08328693673918486,1.0,1,0.0,10927.732858826515,2025-10-25T13:24:25.235614
BlackLitterman,PORTFOLIO,1h,30d,14,test,2024-12-19 14:00:00,2025-01-18 14:00:00,0.027243966491547145,0.009933582401064171,0.10695418834947257,1.0,1,0.0,10272.439664915471,2025-10-25T13:24:25.250130
BlackLitterman,PORTFOLIO,1h,30d,15,test,2025-01-18 14:00:00,2025-02-17 14:00:00,-0.06703494674608082,-0.01426827113280276,0.13649621954962532,0.0,1,0.0,9329.650532539192,2025-10-25T13:24:25.267038
BlackLitterman,PORTFOLIO,1h,30d,16,test,2025-02-17 14:00:00,2025-03-19 14:00:00,-0.12373290494277499,-0.023299875369486207,0.207585486442862,0.0,1,0.0,8762.67095057225,2025-10-25T13:24:25.287713
BlackLitterman,PORTFOLIO,1h,30d,17,test,2025-03-19 14:00:00,2025-04-18 14:00:00,0.0015527122630428494,0.0030567460258572607,0.14696520952907344,1.0,1,0.0,10015.527122630428,2025-10-25T13:24:25.305594
BlackLitterman,PORTFOLIO,1h,30d,18,test,2025-04-18 14:00:00,2025-05-18 14:00:00,0.23058512605784745,0.08515838894673,0.04042274143237412,1.0,1,0.0,12305.851260578474,2025-10-25T13:24:25.315206
BlackLitterman,PORTFOLIO,1h,30d,19,test,2025-05-18 14:00:00,2025-06-17 14:00:00,-0.005240678632773779,-0.0001396282989561911,0.09628360947611359,0.0,1,0.0,9947.593213672262,2025-10-25T13:24:25.323243
BlackLitterman,PORTFOLIO,1h,30d,20,test,2025-06-17 14:00:00,2025-07-17 14:00:00,0.1245465969981824,0.04930125483731733,0.06367218164049548,1.0,1,0.0,11245.465969981824,2025-10-25T13:24:25.331940
BlackLitterman,PORTFOLIO,1h,30d,21,test,2025-07-17 14:00:00,2025-08-16 14:00:00,-0.009406350959063274,-0.002858366930433926,0.06590856551160384,0.0,1,0.0,9905.936490409367,2025-10-25T13:24:25.344865
BlackLitterman,PORTFOLIO,1h,30d,22,test,2025-08-16 14:00:00,2025-09-15 14:00:00,-0.026326142726969374,-0.009495765838756918,0.0884233460622127,0.0,1,0.0,9736.738572730306,2025-10-25T13:24:25.356922
BlackLitterman,PORTFOLIO,1h,90d,0,train,2022-10-26 14:00:00,2023-01-24 14:00:00,0.09080589249026143,0.010613076235882729,0.2570710720289391,1.0,1,0.0,10908.058924902614,2025-10-25T13:24:25.365983
BlackLitterman,PORTFOLIO,1h,90d,1,train,2023-01-24 14:00:00,2023-04-24 14:00:00,0.18826170029140668,0.017846036061772798,0.20743952822770717,1.0,1,0.0,11882.617002914067,2025-10-25T13:24:25.376391
BlackLitterman,PORTFOLIO,1h,90d,2,train,2023-04-24 14:00:00,2023-07-23 14:00:00,0.0838072222045519,0.011176244164149118,0.1605135196197307,1.0,1,0.0,10838.072222045519,2025-10-25T13:24:25.391277
BlackLitterman,PORTFOLIO,1h,90d,3,train,2023-07-23 14:00:00,2023-10-21 14:00:00,-0.0017634899076108923,0.001430589265516501,0.16425922980050534,0.0,1,0.0,9982.365100923891,2025-10-25T13:24:25.405251
BlackLitterman,PORTFOLIO,1h,90d,0,test,2023-10-26 14:00:00,2024-01-24 14:00:00,0.15707300783774916,0.017035545985338987,0.19461426702167228,1.0,1,0.0,11570.730078377492,2025-10-25T13:24:25.420040
BlackLitterman,PORTFOLIO,1h,90d,1,test,2024-01-24 14:00:00,2024-04-23 14:00:00,0.6401448058450967,0.04188243825944484,0.1768258565005033,1.0,1,0.0,16401.448058450966,2025-10-25T13:24:25.429463
BlackLitterman,PORTFOLIO,1h,90d,2,test,2024-04-23 14:00:00,2024-07-22 14:00:00,-0.004227256613428835,0.0018576633213433673,0.2360711901570498,0.0,1,0.0,9957.727433865712,2025-10-25T13:24:25.440947
BlackLitterman,PORTFOLIO,1h,90d,3,test,2024-07-22 14:00:00,2024-10-20 14:00:00,0.025962275943955865,0.004894555685502984,0.2727294561067869,1.0,1,0.0,10259.622759439559,2025-10-25T13:24:25.449927
BlackLitterman,PORTFOLIO,1h,90d,4,test,2024-10-20 14:00:00,2025-01-18 14:00:00,0.4871831275306289,0.037681096514787044,0.15665859793421644,1.0,1,0.0,14871.83127530629,2025-10-25T13:24:26.516931
BlackLitterman,PORTFOLIO,1h,90d,5,test,2025-01-18 14:00:00,2025-04-18 14:00:00,-0.17847153305663388,-0.012334922062868296,0.294459986886904,0.0,1,0.0,8215.284669433662,2025-10-25T13:24:30.117642
BlackLitterman,PORTFOLIO,1h,90d,6,test,2025-04-18 14:00:00,2025-07-17 14:00:00,0.3819835959705608,0.04401316622775491,0.11096078561404799,1.0,1,0.0,13819.835959705608,2025-10-25T13:24:31.154265
BlackLitterman,PORTFOLIO,1h,180d,0,train,2022-10-26 14:00:00,2023-04-24 14:00:00,0.29893383309611693,0.014413810636820153,0.2570710720289391,1.0,1,0.0,12989.338330961169,2025-10-25T13:24:37.784636
BlackLitterman,PORTFOLIO,1h,180d,1,train,2023-04-24 14:00:00,2023-10-21 14:00:00,0.08343650870227848,0.006832027169265089,0.19924288415816827,1.0,1,0.0,10834.365087022785,2025-10-25T13:24:37.808334
BlackLitterman,PORTFOLIO,1h,180d,0,test,2023-10-26 14:00:00,2024-04-23 14:00:00,0.9058398767340609,0.030881495168917073,0.19461426702167228,1.0,1,0.0,19058.398767340608,2025-10-25T13:24:43.136590
BlackLitterman,PORTFOLIO,1h,180d,1,test,2024-04-23 14:00:00,2024-10-20 14:00:00,0.02307740890454552,0.003558084277482929,0.29106618820021,1.0,1,0.0,10230.774089045455,2025-10-25T13:24:43.171951
BlackLitterman,PORTFOLIO,1h,180d,2,test,2024-10-20 14:00:00,2025-04-18 14:00:00,0.2189384116390278,0.010919790981283088,0.2993622635464144,1.0,1,0.0,12189.384116390278,2025-10-25T13:24:49.544997
RiskParity,PORTFOLIO,1h,30d,0,train,2022-10-26 14:00:00,2022-11-25 14:00:00,-0.19696185907370536,-0.04141526181168235,0.2570710720289391,0.0,1,0.0,8030.381409262946,2025-10-25T13:24:49.572322
RiskParity,PORTFOLIO,1h,30d,1,train,2022-11-25 14:00:00,2022-12-25 14:00:00,0.015197366856866575,0.008449155040816244,0.09413817276872094,1.0,1,0.0,10151.973668568666,2025-10-25T13:24:49.594851
RiskParity,PORTFOLIO,1h,30d,2,train,2022-12-25 14:00:00,2023-01-24 14:00:00,0.33849135791268326,0.09709026313014582,0.03357294232260599,1.0,1,0.0,13384.913579126833,2025-10-25T13:24:49.614776
RiskParity,PORTFOLIO,1h,30d,3,train,2023-01-24 14:00:00,2023-02-23 14:00:00,0.046389130523961104,0.015635798334081113,0.10756035405854636,1.0,1,0.0,10463.891305239611,2025-10-25T13:24:49.637160
RiskParity,PORTFOLIO,1h,30d,4,train,2023-02-23 14:00:00,2023-03-25 14:00:00,0.13746826095443793,0.03076258334477424,0.1736617824677129,1.0,1,0.0,11374.68260954438,2025-10-25T13:24:49.658820
RiskParity,PORTFOLIO,1h,30d,5,train,2023-03-25 14:00:00,2023-04-24 14:00:00,-0.004761458974140805,0.0004920808193039767,0.11598255720003225,0.0,1,0.0,9952.385410258592,2025-10-25T13:24:49.682300
RiskParity,PORTFOLIO,1h,30d,6,train,2023-04-24 14:00:00,2023-05-24 14:00:00,-0.04206557348480583,-0.009909795824687838,0.11812687672193656,0.0,1,0.0,9579.344265151942,2025-10-25T13:24:49.704450
RiskParity,PORTFOLIO,1h,30d,7,train,2023-05-24 14:00:00,2023-06-23 14:00:00,0.14407400373976634,0.04967630336051418,0.11052783206351957,1.0,1,0.0,11440.740037397663,2025-10-25T13:24:49.727574
RiskParity,PORTFOLIO,1h,30d,8,train,2023-06-23 14:00:00,2023-07-23 14:00:00,-0.013552900384416717,-0.00397078513832458,0.05777238859939482,0.0,1,0.0,9864.470996155833,2025-10-25T13:24:49.751160
RiskParity,PORTFOLIO,1h,30d,9,train,2023-07-23 14:00:00,2023-08-22 14:00:00,-0.1251915241546949,-0.05876584046290228,0.13862996965724372,0.0,1,0.0,8748.084758453051,2025-10-25T13:24:49.773285
RiskParity,PORTFOLIO,1h,30d,10,train,2023-08-22 14:00:00,2023-09-21 14:00:00,0.020044447729131026,0.009127344532481535,0.10144071682814959,1.0,1,0.0,10200.44447729131,2025-10-25T13:24:49.792527
RiskParity,PORTFOLIO,1h,30d,11,train,2023-09-21 14:00:00,2023-10-21 14:00:00,0.11639179108963235,0.049588797973669954,0.0638413297480156,1.0,1,0.0,11163.917910896324,2025-10-25T13:24:51.452435
RiskParity,PORTFOLIO,1h,30d,0,test,2023-10-26 14:00:00,2023-11-25 14:00:00,0.0950323901899259,0.033443270328009395,0.06618510570020897,1.0,1,0.0,10950.323901899259,2025-10-25T13:24:51.476163
RiskParity,PORTFOLIO,1h,30d,1,test,2023-11-25 14:00:00,2023-12-25 14:00:00,0.14955624253091027,0.04978500592105835,0.08222052128800061,1.0,1,0.0,11495.562425309103,2025-10-25T13:24:51.670117
RiskParity,PORTFOLIO,1h,30d,2,test,2023-12-25 14:00:00,2024-01-24 14:00:00,-0.08309016119698881,-0.019375357089036073,0.19270381429209404,0.0,1,0.0,9169.098388030112,2025-10-25T13:24:51.692891
RiskParity,PORTFOLIO,1h,30d,3,test,2024-01-24 14:00:00,2024-02-23 14:00:00,0.2650352809953405,0.0810076778275664,0.03779005790742451,1.0,1,0.0,12650.352809953405,2025-10-25T13:24:53.141425
RiskParity,PORTFOLIO,1h,30d,4,test,2024-02-23 14:00:00,2024-03-24 14:00:00,0.26805046924343917,0.0504345689414844,0.15769592740537386,1.0,1,0.0,12680.504692434391,2025-10-25T13:24:54.054278
